,sent_tweeteval_keywords,sent_finbert_keywords,sent_tweeteval_cashtags,sent_finbert_cashtags,sent_content_news,sent_title_news,sent_content_opinions,sent_title_opinions
sent_tweeteval_keywords,1.0,0.607644431229787,0.11540909673153298,0.04480517655143967,0.05711315932427273,0.05232928152016506,-0.02923671484559182,-0.01926173851464027
sent_finbert_keywords,0.607644431229787,1.0,0.0656475587246835,0.08749536136065857,0.060479441112020936,0.06315516328356123,-0.0034910637547092478,0.005757407519725019
sent_tweeteval_cashtags,0.11540909673153298,0.0656475587246835,1.0,0.5274176641077363,0.1113875303413397,0.07797627392766403,0.09250682561296121,0.04998634653059214
sent_finbert_cashtags,0.04480517655143967,0.08749536136065857,0.5274176641077363,1.0,0.12373071268384069,0.09702283860275976,0.09853793940242556,0.05163293108164074
sent_content_news,0.05711315932427273,0.060479441112020936,0.1113875303413397,0.12373071268384069,1.0,0.540734383357523,0.13066143367564068,0.08589749334735682
sent_title_news,0.05232928152016506,0.06315516328356123,0.07797627392766403,0.09702283860275976,0.540734383357523,1.0,0.07753259781029209,0.08471399547084495
sent_content_opinions,-0.02923671484559182,-0.0034910637547092478,0.09250682561296121,0.09853793940242556,0.13066143367564068,0.07753259781029209,1.0,0.3582105375676062
sent_title_opinions,-0.01926173851464027,0.005757407519725019,0.04998634653059214,0.05163293108164074,0.08589749334735682,0.08471399547084495,0.3582105375676062,1.0
