ticker,,Open,High,Low,Close,Adj Close,Volume,returns_1,returns_2,returns_5,returns_10,returns_21,reward,STOCH,ULTOSC,RSI,MACD,ATR,sent_content_news,sent_title_news,count_news,sent_content_opinions,sent_title_opinions,count_opinions,replyCount_keywords,retweetCount_keywords,likeCount_keywords,tweetCount_keywords,sent_tweeteval_keywords,sent_finbert_keywords,replyCount_cashtags,retweetCount_cashtags,likeCount_cashtags,tweetCount_cashtags,sent_tweeteval_cashtags,sent_finbert_cashtags
AAPL,Open,1.0,0.9998572078004981,0.9998143757304154,0.9996286822308423,0.9995928988897737,-0.2977975481202937,0.011290627133010059,0.031559826137105375,0.058542981866796656,0.08989911083773239,0.13678931562798066,0.011290627133010059,0.00742545776203717,0.04120037096082023,-0.030404060147972194,0.3703849964145202,0.8897097791443391,-0.02201355942699294,-0.031424537193368206,0.4127909902697345,-0.0046416247415372825,0.053579386072717505,-0.12434141118709649,0.6423438598397289,0.3779507817833867,0.4530678760191364,0.5099267689683653,-0.03165136187468224,0.250646615957226,0.6683054268043809,0.4318663971835511,0.6677542991315484,0.6712612252694855,-0.15343111006910423,0.07355610343581002
AAPL,High,0.9998572078004981,1.0,0.9997738418561731,0.9998115275230471,0.9997817715980628,-0.29318967213635133,0.017718298402606875,0.03457429563556892,0.05963225290816021,0.08962057080203996,0.13567348352244482,0.017718298402606875,0.005637206632828506,0.04184393412548901,-0.029671081979969198,0.3689525851268868,0.892005510811527,-0.021969958093385717,-0.030648357653065776,0.41473594988546275,-0.005526489151575753,0.05371930679806622,-0.12377602424565469,0.6435028905030492,0.379763077560838,0.4550728828201654,0.5119181852976569,-0.03215790413325289,0.25106623879590906,0.6712278448351041,0.4339499225986718,0.6703286115423623,0.6752585091829453,-0.15317248479670006,0.07390304643198582
AAPL,Low,0.9998143757304154,0.9997738418561731,1.0,0.9998182091171638,0.9997839956991018,-0.30388253529611714,0.01945646954919395,0.03783703096393367,0.0640605736541494,0.09448453091311818,0.14034945937251533,0.01945646954919395,0.004106546203360601,0.046234396085405166,-0.02676370346492194,0.37003174483043266,0.8865449075945255,-0.018563732877885937,-0.028596254997637703,0.411111848170872,-0.00216063253617098,0.054915814007712775,-0.12428694152853971,0.642661991834153,0.37827470470647023,0.4531710272526049,0.5098618571556904,-0.032404463958723526,0.24963161010159346,0.6670904999192016,0.43055309433012834,0.6664968869431281,0.6696200536588204,-0.15151108353408146,0.07530646586383785
AAPL,Close,0.9996286822308423,0.9998115275230471,0.9998182091171638,1.0,0.9999652792686665,-0.2988970695840656,0.02862444315836016,0.042413227484311776,0.06615955895546344,0.09487824971230412,0.13967916668460775,0.02862444315836016,0.0010490520023984588,0.04806753236512135,-0.026054005688476,0.36895558076025387,0.8891160600174033,-0.017928267326053553,-0.027184586347901545,0.4133933005725595,-0.0030043318735591138,0.055496841062262776,-0.1239907695499244,0.6436237074683916,0.37977003320874997,0.45485922781586924,0.511800615259375,-0.032578859253564046,0.25024276318582533,0.6701581146316867,0.4334340987546054,0.6694055780930684,0.6738425072025137,-0.1510516380949094,0.07583864072666914
AAPL,Adj Close,0.9995928988897737,0.9997817715980628,0.9997839956991018,0.9999652792686665,1.0,-0.3002820719769439,0.02837082943918527,0.0420868075820617,0.06570368822249864,0.09425281252797409,0.13867605777621606,0.02837082943918527,0.0010607910094533645,0.04796147221904647,-0.025766866876085773,0.36735174983737373,0.8895808243107972,-0.019051004099843845,-0.027724254855873702,0.4136427370968685,-0.0029009107296243015,0.05549004146186784,-0.12283372507447991,0.6442524964026463,0.38052268080217383,0.4559634155251119,0.5131958549715422,-0.03382511573315645,0.2505389193300561,0.6698355028519702,0.432696010094987,0.6690108957091597,0.6736025803297123,-0.15220482073596098,0.07540479367897204
AAPL,Volume,-0.2977975481202937,-0.29318967213635133,-0.30388253529611714,-0.2988970695840656,-0.3002820719769439,1.0,-0.10166382274948407,-0.14793630793347162,-0.19274628681226297,-0.2443586119492628,-0.27173217450363646,-0.10166382274948407,0.06046170418202934,-0.2022925953122227,-0.0935589681386546,-0.16674131127698205,-0.0881772267761549,-0.14138016779026497,-0.09690968638073634,0.08642832802716241,-0.19290808299694306,-0.11470543852159579,0.0297616213921906,-0.15358403276376803,-0.05219337134057419,-0.07674675640275357,-0.0993740642347377,0.07984693504604337,-0.04237350666654052,-0.043812250787528706,0.07153912828558195,-0.06970165804916706,0.01721968553527596,-0.013256438003226406,-0.10894189253672065
AAPL,returns_1,0.011290627133010059,0.017718298402606875,0.01945646954919395,0.02862444315836016,0.02837082943918527,-0.10166382274948407,1.0,0.6737235018773825,0.4265484918571298,0.328409918230581,0.22341955964834284,1.0,-0.35153038389834507,0.29165583406678275,0.2248025447251577,0.005509716084259446,-0.002387524329043442,0.2626822138175985,0.2630005982999263,0.0002559656260447743,0.09376736580085679,0.10421906649982068,-0.0034421343435437402,0.02453044260040172,0.04549050006825742,0.043388274545204324,0.04885994718185203,-0.02648673842076891,-0.00030926745733896976,0.05886871158229482,0.047323233877749046,0.056120409014560446,0.0875434719590797,0.1799522459155561,0.1909671423878842
AAPL,returns_2,0.031559826137105375,0.03457429563556892,0.03783703096393367,0.042413227484311776,0.0420868075820617,-0.14793630793347162,0.6737235018773825,1.0,0.6078331787277157,0.44535630063873094,0.32653270172313437,0.6737235018773825,-0.5652906284006762,0.41298259023591793,0.45000902237080787,0.024156100870003156,-0.0070605390976098996,0.2222208454446457,0.2058619613635499,-0.01264583088646612,0.18678492099376717,0.13181820041986012,-0.0001827536438701611,0.018982404099959802,0.03134505248059555,0.034864842340950795,0.040890374801832496,-0.030368554639631593,-0.009080001069168007,0.06409815081596046,0.0550782361345881,0.06718665315135897,0.1051308385578799,0.21381061429565382,0.22723118174622708
AAPL,returns_5,0.058542981866796656,0.05963225290816021,0.0640605736541494,0.06615955895546344,0.06570368822249864,-0.19274628681226297,0.4265484918571298,0.6078331787277157,1.0,0.7067818153705806,0.5124262389998103,0.4265484918571298,-0.2764466812168743,0.6403030746572347,0.7090890248321781,0.12494924925864376,-0.026574491988354588,0.15016286263671996,0.15157246179395248,-0.02361430303977434,0.19659570577225366,0.13494710163064927,-0.015763319235449047,0.03519437147234354,0.05960563374481339,0.054911421513614674,0.07589963799223579,0.006698937655160729,0.039798369319350435,0.06819920034518537,0.05433050073707144,0.08282055950001939,0.09209940877711074,0.17029275725978524,0.19372363107089066
AAPL,returns_10,0.08989911083773239,0.08962057080203996,0.09448453091311818,0.09487824971230412,0.09425281252797409,-0.2443586119492628,0.328409918230581,0.44535630063873094,0.7067818153705806,1.0,0.7114193812425895,0.32840991823058097,-0.0249061887547139,0.7163105953545487,0.41591261407570435,0.3419338550908522,-0.04388372225808702,0.16516957014299996,0.14336578040722267,-0.021300226575435597,0.20270634756191008,0.13168980207876133,-0.04511876331150876,0.059044344840248036,0.10313083044225159,0.09247110243767692,0.10637891083050323,0.024063229112605763,0.09125597941943427,0.06368109950966032,0.04336680455940127,0.07399298508802757,0.08332873355655351,0.14017868506359704,0.15451874789376652
